city,city_ascii,lat,lng,pop,country,iso2,iso3,province
Lucapa,Lucapa,-8.419603659,20.74001542,25578,Angola,AO,AGO,Lunda Norte
Capenda-Camulemba,Capenda-Camulemba,-9.4195943,18.43002722,79842.5,Angola,AO,AGO,Lunda Norte
Saurimo,Saurimo,-9.659579652,20.39001094,40907,Angola,AO,AGO,Lunda Sul
Muconda,Muconda,-10.59962563,21.31998002,2324,Angola,AO,AGO,Lunda Sul
Cacolo,Cacolo,-10.14962726,19.2600024,984,Angola,AO,AGO,Lunda Sul
Caxito,Caxito,-8.579542217,13.65998246,15665.5,Angola,AO,AGO,Bengo
Camabatela,Camabatela,-8.189591859,15.37000728,12731,Angola,AO,AGO,Cuanza Norte
Ndalatando,Ndalatando,-9.299549948,14.90998368,8144,Angola,AO,AGO,Cuanza Norte
Quibala,Quibala,-10.72959186,14.97995357,5248.5,Angola,AO,AGO,Cuanza Sul
Calulo,Calulo,-9.999610577,14.90001013,795,Angola,AO,AGO,Cuanza Sul
Waku Kungo,Waku Kungo,-11.35952757,15.1199967,11519.5,Angola,AO,AGO,Cuanza Sul
Songo,Songo,-7.349591452,14.84998734,10579,Angola,AO,AGO,Uíge
Mbanza-Congo,Mbanza-Congo,-6.269605694,14.23999874,42201,Angola,AO,AGO,Zaire
Nzeto,Nzeto,-7.229598776,12.86003129,19705.5,Angola,AO,AGO,Zaire
Soyo,Soyo,-6.129614239,12.36998368,65329,Angola,AO,AGO,Zaire
Cabinda,Cabinda,-5.55962319,12.18999467,78905.5,Angola,AO,AGO,Cabinda
Calucinga,Calucinga,-11.31958169,16.19998246,531,Angola,AO,AGO,Bié
Camacupa,Camacupa,-12.01959064,17.46998246,19489,Angola,AO,AGO,Bié
Cubal,Cubal,-13.03958006,14.23999874,4837,Angola,AO,AGO,Benguela
Mavinga,Mavinga,-15.7895414,20.36003861,30000,Angola,AO,AGO,Cuando Cubango
Cuito Caunavale,Cuito Caunavale,-15.15960569,19.16998205,149,Angola,AO,AGO,Cuando Cubango
Luiana,Luiana,-17.36954832,22.99998083,150,Angola,AO,AGO,Cuando Cubango
Ondjiva,Ondjiva,-17.06961831,15.73003699,8748,Angola,AO,AGO,Cunene
Chitado,Chitado,-17.31962889,13.92001827,468.5,Angola,AO,AGO,Cunene
Chibemba,Chibemba,-15.74959552,14.0800085,1502,Angola,AO,AGO,Huíla
Chibia,Chibia,-15.1896297,13.69000647,1411,Angola,AO,AGO,Huíla
Quipungo,Quipungo,-14.82954832,14.55000565,186,Angola,AO,AGO,Huíla
Luau,Luau,-10.7095414,22.23000199,9964,Angola,AO,AGO,Moxico
Cangamba,Cangamba,-13.69959145,19.86001745,1307,Angola,AO,AGO,Moxico
Lumbala Nguimbo,Lumbala Nguimbo,-14.09961871,21.44002437,25,Angola,AO,AGO,Moxico
Cazombo,Cazombo,-11.88957273,22.90003861,298,Angola,AO,AGO,Moxico
Dundo,Dundo,-7.380028871,20.82998409,11985,Angola,AO,AGO,Lunda Norte
Ambriz,Ambriz,-7.85498696,13.12502803,17000,Angola,AO,AGO,Bengo
Dondo,Dondo,-9.690017071,14.43001298,2353,Angola,AO,AGO,Cuanza Norte
Sumbe,Sumbe,-11.21002765,13.8499967,29638.5,Angola,AO,AGO,Cuanza Sul
Uige,Uige,-7.620014222,15.04997514,56787.5,Angola,AO,AGO,Uíge
Kuito,Kuito,-12.38003375,16.93998897,113955,Angola,AO,AGO,Bié
Lobito,Lobito,-12.37000853,13.54123002,170733,Angola,AO,AGO,Benguela
Xangongo,Xangongo,-16.74002602,14.96998002,447,Angola,AO,AGO,Cunene
Luena,Luena,-11.79004393,19.90001501,17276.5,Angola,AO,AGO,Moxico
Tômbua,Tombua,-15.80003172,11.85998897,40000,Angola,AO,AGO,Namibe
Malanje,Malanje,-9.540000388,16.34002559,106451,Angola,AO,AGO,Malanje
Benguela,Benguela,-12.57826455,13.40723303,142017,Angola,AO,AGO,Benguela
Lubango,Lubango,-14.91000853,13.49001868,114086.5,Angola,AO,AGO,Huíla
Namibe,Namibe,-15.19004311,12.16002234,128130.5,Angola,AO,AGO,Namibe
Menongue,Menongue,-14.66661253,17.69999426,13030,Angola,AO,AGO,Cuando Cubango
Huambo,Huambo,-12.74998533,15.76000932,986000,Angola,AO,AGO,Huambo
Luanda,Luanda,-8.838286114,13.23442704,3562086,Angola,AO,AGO,Luanda
Artigas Base,Artigas Base,-62.17388669,-58.86386407,34.5,Antarctica,AQ,ATA,
Capitan Arturo Prat Station,Capitan Arturo Prat Station,-62.49950682,-59.68331852,41,Antarctica,AQ,ATA,
Marambio Station,Vicecomodoro Marambio Station,-64.23288939,-56.6500153,102.5,Antarctica,AQ,ATA,
Zucchelli Station,Terra Nova Bay,-74.61919259,164.2190271,60,Antarctica,AQ,ATA,
Rothera Station,Rothera Station,-67.5647756,-68.12354055,76,Antarctica,AQ,ATA,
Palmer Station,Palmer Station,-64.76241335,-64.0468756,30.5,Antarctica,AQ,ATA,
Base Presidente Montalva,Teniente Rodolfo Marsh Station,-62.18274357,-58.90765233,115,Antarctica,AQ,ATA,
Carlini Station,Teniente Jubany Station,-62.22414386,-58.65047599,40,Antarctica,AQ,ATA,
King Sejong Station,King Sejong Station,-62.2248534,-58.77159876,53.5,Antarctica,AQ,ATA,
Great Wall Station,Great Wall Station,-62.21631997,-58.9666956,26,Antarctica,AQ,ATA,
Escudero Base,Escudero Station,-62.19496251,-58.95266582,20,Antarctica,AQ,ATA,
Elephant Island,"Elephant Island, South Shetland Islands",-61.99958901,-57.99998458,3,Antarctica,AQ,ATA,
Scott Base,Scott Base,-77.84693819,166.7491023,49.5,Antarctica,AQ,ATA,
McMurdo Station,McMurdo Station,-77.73228239,166.8694157,600,Antarctica,AQ,ATA,
Zhongshan Station,Zhongshan Station,-69.43406299,76.33929808,42.5,Antarctica,AQ,ATA,
Vostok,Vostok,-78.46628416,106.8000337,19,Antarctica,AQ,ATA,
Peter I Island,Peter I Island,-68.83286701,90.49999508,0.5,Antarctica,AQ,ATA,
Mirny Station,Mirny Station,-66.57552952,93.00628846,114.5,Antarctica,AQ,ATA,
Mawson Station,Mawson Station,-67.61452032,62.87500073,40,Antarctica,AQ,ATA,
Davis Station,Davis Station,-68.77767439,78.14073509,45,Antarctica,AQ,ATA,
Concordia Research Station,Concordia Research Station,-74.66630939,124.1670357,15,Antarctica,AQ,ATA,
Casey Station,Casey Station,-66.28608614,110.536214,125,Antarctica,AQ,ATA,
Amundsen–Scott South Pole Station,Amundsen–Scott South Pole Station,-89.98289386,139.2669926,125,Antarctica,AQ,ATA,
Wasa Station,Wasa Station,-73.0496122,-13.41671106,5,Antarctica,AQ,ATA,
Troll Station,Troll Station,-72.01629026,2.533323119,25.5,Antarctica,AQ,ATA,
Svea Station,Svea Station,-74.58290363,-11.21669031,5,Antarctica,AQ,ATA,
Novolazarevskaya Station,Novolazarevskaya Station,-71.30123475,-11.8502129,35,Antarctica,AQ,ATA,
Neumayer Station III,Neumayer,-70.89039668,-7.838438004,40,Antarctica,AQ,ATA,
Maitri Station,Maitri Station,-70.7821796,11.7304584,33,Antarctica,AQ,ATA,
Halley Station,Halley Station,-76.09226319,-26.4741567,43,Antarctica,AQ,ATA,
Belgrano Station,General Belgrano Station,-77.86632078,-34.61668319,57,Antarctica,AQ,ATA,
Camp Sobral,Doctor Sobral,-81.17908472,-40.50153152,20,Antarctica,AQ,ATA,
Aboa Station,Aboa Station,-75.04959349,-13.41671106,15,Antarctica,AQ,ATA,
San Martín Station,San Martín Station,-68.1163216,-67.0999976,19,Antarctica,AQ,ATA,
Gen. O'Higgins Station,General Bernado O'Higgins Station,-63.32841823,-57.88959352,30,Antarctica,AQ,ATA,
Esperanza Station,Esperanza Station,-63.37532865,-57.02590151,152.5,Antarctica,AQ,ATA,
Orcadas Station,Orcadas Station,-60.7328963,-44.73330082,29.5,Antarctica,AQ,ATA,
Signy Research Station,Signy Island,-60.63130815,-45.60070332,4,Antarctica,AQ,ATA,
Dumont d'Urville Station,Dumont d'Urville Station,-66.77505091,139.9636836,75,Antarctica,AQ,ATA,
Showa Station,Showa Station,-69.03039249,39.7460831,50,Antarctica,AQ,ATA,
Saint John's,Saint John's,17.11803652,-61.85003382,29862.5,Antigua and Barbuda,AG,ATG,
28 de Noviembre,28 de Noviembre,-51.65003986,-72.30001612,5300,Argentina,AR,ARG,Santa Cruz
Gobernador Gregores,Gobernador Gregores,-48.76659829,-70.25001205,2519,Argentina,AR,ARG,Santa Cruz
Comondante Luis Piedrabuena,Comondante Luis Piedrabuena,-49.97454865,-68.90347273,410,Argentina,AR,ARG,Santa Cruz
Paso Rio Mayo,Paso Rio Mayo,-45.68337563,-70.26657434,1825,Argentina,AR,ARG,Chubut
Alto Rio Sanguer,Alto Rio Sanguer,-45.03328611,-70.83328394,1548,Argentina,AR,ARG,Chubut
El Maiten,El Maiten,-42.05000568,-71.16662276,4269,Argentina,AR,ARG,Chubut
Puerto Madryn,Puerto Madryn,-42.77001341,-65.04001998,61159,Argentina,AR,ARG,Chubut
Trelew,Trelew,-43.25003579,-65.3299506,93128.5,Argentina,AR,ARG,Chubut
Las Heras,Las Heras,-32.82503904,-68.80167668,66663,Argentina,AR,ARG,Mendoza
San Martin,San Martin,-33.06998533,-68.49001612,99974,Argentina,AR,ARG,Mendoza
Uspallata,Uspallata,-32.59311522,-69.34598454,2390,Argentina,AR,ARG,Mendoza
Cutral Co,Cutral Co,-38.94001463,-69.24002202,47597,Argentina,AR,ARG,Neuquén
Punta Alta,Punta Alta,-38.87996662,-62.0799681,55969.5,Argentina,AR,ARG,Ciudad de Buenos Aires
San Nicolas,San Nicolas,-33.33002114,-60.24000289,117123.5,Argentina,AR,ARG,Ciudad de Buenos Aires
Campana,Campana,-34.15999632,-58.95997766,77149.5,Argentina,AR,ARG,Ciudad de Buenos Aires
Chacabuco,Chacabuco,-34.65004393,-60.48998763,26645,Argentina,AR,ARG,Ciudad de Buenos Aires
Mercedes,Mercedes,-34.66001748,-59.44002588,48408.5,Argentina,AR,ARG,Ciudad de Buenos Aires
Lincoln,Lincoln,-34.88000405,-61.53994938,19924,Argentina,AR,ARG,Ciudad de Buenos Aires
Chivilcoy,Chivilcoy,-34.89995115,-60.03998926,43719,Argentina,AR,ARG,Ciudad de Buenos Aires
Veinticinco de Mayo,Veinticinco de Mayo,-35.42999632,-60.17998071,18749,Argentina,AR,ARG,Ciudad de Buenos Aires
Nueve de Julio,Nueve de Julio,-35.44596434,-60.88998906,26716,Argentina,AR,ARG,Ciudad de Buenos Aires
Dolores,Dolores,-36.33004474,-57.68997766,21586.5,Argentina,AR,ARG,Ciudad de Buenos Aires
Pedro Luro,Pedro Luro,-39.48334064,-62.68331629,7100,Argentina,AR,ARG,Ciudad de Buenos Aires
Tres Arroyos,Tres Arroyos,-38.3699719,-60.26994938,34773.5,Argentina,AR,ARG,Ciudad de Buenos Aires
Coronel Suarez,Coronel Suarez,-37.46661619,-61.9166189,20713,Argentina,AR,ARG,Ciudad de Buenos Aires
Balcarce,Balcarce,-37.83331216,-58.24999516,18967,Argentina,AR,ARG,Ciudad de Buenos Aires
25 de Mayo,25 de Mayo,-37.80003253,-67.68329533,17430,Argentina,AR,ARG,Río Negro
General Roca,General Roca,-39.01995807,-67.60996647,38578,Argentina,AR,ARG,Río Negro
Comallo,Comallo,-41.03332355,-70.26657434,741,Argentina,AR,ARG,Río Negro
Ingeniero Jacobacci,Ingeniero Jacobacci,-41.30002562,-69.58330855,5719,Argentina,AR,ARG,Río Negro
General Conesa,General Conesa,-40.10004718,-64.43328699,2958,Argentina,AR,ARG,Río Negro
Choele Choel,Choele Choel,-39.26660968,-65.68331405,9895.5,Argentina,AR,ARG,Río Negro
San Francisco,San Francisco,-31.43003375,-62.08996749,43231,Argentina,AR,ARG,Córdoba
Alta Gracia,Alta Gracia,-31.65999388,-64.4299797,30593,Argentina,AR,ARG,Córdoba
Villa Maria,Villa Maria,-32.41002562,-63.26002527,76701,Argentina,AR,ARG,Córdoba
Bell Ville,Bell Ville,-32.60003986,-62.67995732,29605,Argentina,AR,ARG,Córdoba
Villa Rumipal,Villa Rumipal,-32.18332111,-64.48328394,1269,Argentina,AR,ARG,Córdoba
Villa Carlos Paz,Villa Carlos Paz,-31.42000853,-64.50000126,60256,Argentina,AR,ARG,Córdoba
Chumbicha,Chumbicha,-28.86662433,-66.23330632,2572,Argentina,AR,ARG,Catamarca
Tinogasta,Tinogasta,-28.06662148,-67.56658411,587,Argentina,AR,ARG,Catamarca
Abra Pampa,Abra Pampa,-22.7166638,-65.6999797,4480,Argentina,AR,ARG,Jujuy
Humahuaca,Humahuaca,-23.19999347,-65.34994938,11369,Argentina,AR,ARG,Jujuy
Susques,Susques,-23.41667275,-66.4833169,1093,Argentina,AR,ARG,Jujuy
Chepes,Chepes,-31.34998696,-66.5999506,6020,Argentina,AR,ARG,La Rioja
Yacuiba,Yacuiba,-22.03003904,-63.69999841,64811,Argentina,AR,ARG,Salta
Tartagal,Tartagal,-22.55000731,-63.81001754,59996.5,Argentina,AR,ARG,Salta
Joaquin V. Gonzalez,Joaquin V. Gonzalez,-25.08334105,-64.18335392,13376,Argentina,AR,ARG,Salta
General Guemes,General Guemes,-24.6666223,-65.04996769,19828,Argentina,AR,ARG,Salta
Trancas,Trancas,-26.21665688,-65.28331262,1599,Argentina,AR,ARG,Tucumán
Presidencia Roque Saenz Pena,Presidencia Roque Saenz Pena,-26.7900069,-60.45001591,75958,Argentina,AR,ARG,Chaco
Pampa del Infierno,Pampa del Infierno,-26.51658689,-61.16658716,2921,Argentina,AR,ARG,Chaco
Villa Angela,Villa Angela,-27.58329181,-60.7166663,30051,Argentina,AR,ARG,Chaco
Ingeniero Guillermo N. Juarez,Ingeniero Guillermo N. Juarez,-23.90000242,-61.84998214,6453,Argentina,AR,ARG,Formosa
Comandante Fontana,Comandante Fontana,-25.33329995,-59.68331852,4277,Argentina,AR,ARG,Formosa
Doctor Pedro P. Pena,Doctor Pedro P. Pena,-22.47998574,-62.29998051,6143,Argentina,AR,ARG,Formosa
San Lorenzo,San Lorenzo,-28.12000324,-58.76998926,25833.5,Argentina,AR,ARG,Corrientes
Corrientes,Corrientes,-27.48996417,-58.80998682,339945,Argentina,AR,ARG,Corrientes
Concepcion del Uruguay,Concepcion del Uruguay,-32.47999551,-58.23999577,48275,Argentina,AR,ARG,Entre Ríos
Victoria,Victoria,-32.61001341,-60.17998071,20032.5,Argentina,AR,ARG,Entre Ríos
Gualeguay,Gualeguay,-33.15003213,-59.34000615,25913,Argentina,AR,ARG,Entre Ríos
Parana,Parana,-31.73332273,-60.53334416,226852,Argentina,AR,ARG,Entre Ríos
Villa Constitucion,Villa Constitucion,-33.23002724,-60.35002202,30282.5,Argentina,AR,ARG,Santa Fe
Rafaela,Rafaela,-31.25004474,-61.49997766,69649,Argentina,AR,ARG,Santa Fe
Eldorado,Eldorado,-26.20001707,-54.59998539,17365,Argentina,AR,ARG,Misiones
Rodeo,Rodeo,-30.21558592,-69.1399506,701,Argentina,AR,ARG,San Juan
Las Plumas,Las Plumas,-43.41627887,-67.24998845,605,Argentina,AR,ARG,Chubut
Gastre,Gastre,-42.28296303,-69.23330408,557,Argentina,AR,ARG,Chubut
Telsen,Telsen,-42.39959674,-66.95000676,493,Argentina,AR,ARG,Chubut
Malargue,Malargue,-35.46611815,-69.58330855,11847,Argentina,AR,ARG,Mendoza
Tunuyan,Tunuyan,-33.56618244,-69.01667647,22834,Argentina,AR,ARG,Mendoza
La Paz,La Paz,-33.46613686,-67.54999597,4400,Argentina,AR,ARG,Mendoza
Chos Malal,Chos Malal,-37.38295205,-70.26657434,8556,Argentina,AR,ARG,Neuquén
Las Lajas,Las Lajas,-38.51626788,-70.36659408,1218,Argentina,AR,ARG,Neuquén
Zarate,Zarate,-34.08956134,-59.04002446,86192,Argentina,AR,ARG,Ciudad de Buenos Aires
Carhue,Carhue,-37.1828609,-62.73331323,7190,Argentina,AR,ARG,Ciudad de Buenos Aires
Darregueira,Darregueira,-37.69957355,-63.16659428,3412,Argentina,AR,ARG,Ciudad de Buenos Aires
Juarez,Juarez,-37.66551878,-59.80002975,10609,Argentina,AR,ARG,Ciudad de Buenos Aires
Mar de Ajo,Mar de Ajo,-36.71622272,-56.67660283,13610,Argentina,AR,ARG,Ciudad de Buenos Aires
Lobos,Lobos,-35.184895,-59.09467228,18278,Argentina,AR,ARG,Ciudad de Buenos Aires
Chascomus,Chascomus,-35.56621539,-58.01662439,21054,Argentina,AR,ARG,Ciudad de Buenos Aires
Junin,Junin,-34.58456989,-60.95887374,66141.5,Argentina,AR,ARG,Ciudad de Buenos Aires
La Plata,La Plata,-34.90961465,-57.95996118,440388.5,Argentina,AR,ARG,Ciudad de Buenos Aires
Pergamino,Pergamino,-33.89959878,-60.56998275,71448,Argentina,AR,ARG,Ciudad de Buenos Aires
Lujan,Lujan,-34.57960895,-59.10999435,69744.5,Argentina,AR,ARG,Ciudad de Buenos Aires
Azul,Azul,-36.7796297,-59.86999964,43407.5,Argentina,AR,ARG,Ciudad de Buenos Aires
Villalonga,Villalonga,-39.88285114,-62.58332239,2838,Argentina,AR,ARG,Ciudad de Buenos Aires
